Beginning,Middle,End,Zero Dollar,Beg-Percentage,Mid-Percentage,End-Percentage,Zero-Percentage,
None,55,None,2970,0,100,0,5319
None,None,None,None,0,0,0,0
None,10,None,None,0,100,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,5,None,None,0,100,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
183,None,None,None,100,0,0,0
None,None,None,None,0,0,0,0
90,None,165,None,35,0,64,0
None,None,None,None,0,0,0,0
106,None,None,None,100,0,0,0
None,None,None,None,0,0,0,0
57,None,None,None,100,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
6,None,None,None,100,0,0,0
None,None,None,None,0,0,0,0
527,385,155,1,49,36,14,0
48,304,129,None,10,63,26,0
None,None,None,None,0,0,0,0
None,28,None,None,0,100,0,0
None,None,None,None,0,0,0,0
None,None,170,None,0,0,100,0
None,None,None,None,0,0,0,0
None,None,69,None,0,0,100,0
None,None,None,None,0,0,0,0
None,3,38,None,0,7,92,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,87,None,None,0,100,0,0
None,None,None,None,0,0,0,0
None,58,None,None,0,100,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,3,None,0,0,100,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
18,138,84,None,7,57,34,0
None,275,29,None,0,90,9,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,17,54,None,0,24,75,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
88,None,None,None,100,0,0,0
None,None,None,None,0,0,0,0
239,73,364,None,35,10,53,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
None,121,None,None,0,100,0,0
None,None,None,None,0,0,0,0
None,None,None,None,0,0,0,0
